day,type,category,debit,credit,balance,category_mean,category_std,zscore,stat_anomaly,isoforest_anomaly,isoforest_score,autoencoder_reconstruction_error,autoencoder_anomaly,flagged_by_n_methods
Thursday,Debit,Shopping,18777.0,0.0,62566.46,2215.5484782608696,3432.7600687739223,4.824529297107088,True,True,0.6132049534981693,0.925226997441819,False,2
Monday,Debit,Rent,20000.0,0.0,232065.0,17000.0,4242.640687119285,0.7071067811865476,False,True,0.686581946494679,3.1607610785850295,True,2
Thursday,Debit,Rent,14000.0,0.0,123251.0,17000.0,4242.640687119285,-0.7071067811865476,False,True,0.6655976772166919,3.210738237927458,True,2
Thursday,Debit,Restaurant,126.0,0.0,61755.46,355.3333333333333,411.1512292737714,-0.557783406700283,False,False,0.5676937008751209,2.750260866352954,True,1
Saturday,Debit,Restaurant,830.0,0.0,278202.1,355.3333333333333,411.1512292737714,1.1544819347982602,False,False,0.6094616752653305,2.7538299664097092,True,1
Friday,Debit,Travel,892.5,0.0,29941.59,659.375,155.52833343156482,1.4989230248685141,False,True,0.6222839986279067,1.8553015687943268,False,1
Saturday,Debit,Shopping,1395.0,0.0,172433.0,2215.5484782608696,3432.7600687739223,-0.2390346140777455,False,False,0.35400096033976153,0.0016944854416223957,False,0
Saturday,Debit,Shopping,225.0,0.0,172208.0,2215.5484782608696,3432.7600687739223,-0.5798682221830415,False,False,0.34933271914399533,0.01169865616107597,False,0
Wednesday,Debit,Shopping,2500.0,0.0,174656.4,2215.5484782608696,3432.7600687739223,0.08286379357725629,False,False,0.36395696969089586,0.0006042916453578571,False,0
Wednesday,Debit,Shopping,324.0,0.0,174332.4,2215.5484782608696,3432.7600687739223,-0.5510284553433626,False,False,0.3414714541398143,0.01049962173982287,False,0
Friday,Debit,Shopping,404.38,0.0,173928.0,2215.5484782608696,3432.7600687739223,-0.5276128951557526,False,False,0.33396294970178647,0.00957404185736714,False,0
Saturday,Debit,Shopping,100.0,0.0,173828.0,2215.5484782608696,3432.7600687739223,-0.6162820692028381,False,False,0.3609880462912555,0.01330568355783703,False,0
Friday,Debit,Medical,659.75,0.0,155884.1,961.1,284.9175648323564,-1.0576743493414047,False,False,0.5439650606967311,0.8635870199129319,False,0
Thursday,Debit,Shopping,2053.0,0.0,156543.8,2215.5484782608696,3432.7600687739223,-0.04735212336553629,False,False,0.3625474490425759,6.73852494693835e-05,False,0
Tuesday,Debit,Shopping,2704.84,0.0,158596.8,2215.5484782608696,3432.7600687739223,0.14253589296553737,False,False,0.3660777007885085,0.0012942717442353214,False,0
Monday,Debit,Shopping,818.0,0.0,161301.7,2215.5484782608696,3432.7600687739223,-0.4071209319211265,False,False,0.3402494528163265,0.005490541419809282,False,0
Saturday,Debit,ATM,10000.0,0.0,162098.0,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,Restaurant,110.0,0.0,172098.0,355.3333333333333,411.1512292737714,-0.5966985280979772,False,False,0.5681973904383715,2.7502180524046413,False,0
Saturday,Debit,Shopping,108.0,0.0,153295.7,2215.5484782608696,3432.7600687739223,-0.6139515829935711,False,False,0.36162890798884856,0.013199721770026266,False,0
Friday,Debit,Entertainment,404.38,0.0,155479.7,202.58714285714285,112.74393194525456,1.789833418625513,False,False,0.586234813083624,0.058789100389596186,False,0
Saturday,Debit,Entertainment,130.0,0.0,151915.7,202.58714285714285,112.74393194525456,-0.6438230564141512,False,False,0.533022504569968,0.05698218213441837,False,0
Sunday,Debit,Shopping,1375.0,0.0,150540.7,2215.5484782608696,3432.7600687739223,-0.24486082960091296,False,False,0.3507987716956922,0.001789025975699261,False,0
Monday,Debit,Shopping,50.0,0.0,149466.7,2215.5484782608696,3432.7600687739223,-0.6308476080107567,False,False,0.3739203693844824,0.01397758671863334,False,0
Sunday,Debit,Shopping,1024.0,0.0,149516.7,2215.5484782608696,3432.7600687739223,-0.3471109120325018,False,False,0.34794833320838386,0.0038811741371603927,False,0
Tuesday,Debit,Medical,1305.0,0.0,148182.0,961.1,284.9175648323564,1.207015791400395,False,False,0.566232083950762,0.8682993774901724,False,0
Saturday,Debit,Shopping,853.0,0.0,152442.7,2215.5484782608696,3432.7600687739223,-0.3969250547555835,False,False,0.3407026129098782,0.0051972061647788705,False,0
Saturday,Debit,Travel,577.5,0.0,154324.7,659.375,155.52833343156482,-0.5264314108787543,False,False,0.5427388698648602,1.8534513075056336,False,0
Saturday,Debit,Travel,577.5,0.0,154902.2,659.375,155.52833343156482,-0.5264314108787543,False,False,0.5427388698648602,1.8534513075056336,False,0
Friday,Debit,Shopping,2800.52,0.0,120450.5,2215.5484782608696,3432.7600687739223,0.17040850802837043,False,False,0.3665759945149676,0.0017121600190465654,False,0
Wednesday,Debit,ATM,10000.0,0.0,137251.0,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,Shopping,8296.0,0.0,103344.5,2215.5484782608696,3432.7600687739223,1.7713010521911843,False,False,0.46591703971841025,0.12787287973648162,False,0
Saturday,Debit,Shopping,410.0,0.0,120040.5,2215.5484782608696,3432.7600687739223,-0.5259757285937425,False,False,0.3349352647217442,0.00951093421843752,False,0
Saturday,Debit,Shopping,11610.0,0.0,91734.46,2215.5484782608696,3432.7600687739223,2.7367049643800314,False,False,0.5230291544826297,0.3010199079032555,False,0
Sunday,Debit,Shopping,412.0,0.0,91322.46,2215.5484782608696,3432.7600687739223,-0.5253931070414258,False,False,0.3358930442989974,0.00948852665424698,False,0
Wednesday,Debit,ATM,10000.0,0.0,81343.46,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,Shopping,8400.0,0.0,111640.5,2215.5484782608696,3432.7600687739223,1.801597372911655,False,False,0.465504018549718,0.13219662354882233,False,0
Thursday,Debit,Medical,685.0,0.0,61881.46,961.1,284.9175648323564,-0.9690522245002882,False,False,0.540570256587788,0.8637193743464155,False,0
Saturday,Debit,Shopping,548.0,0.0,61207.46,2215.5484782608696,3432.7600687739223,-0.48577484148388717,False,False,0.34922140089325826,0.008027212569160058,False,0
Saturday,Debit,Shopping,399.0,0.0,60808.46,2215.5484782608696,3432.7600687739223,-0.5291801471314846,False,False,0.33477369427226855,0.009634651271188245,False,0
